source,page,word_count
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,0,43
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,1,149
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,2,412
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,3,564
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,4,459
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,5,406
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,6,115
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,7,18
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,8,203
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,9,218
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,10,53
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,11,448
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,12,295
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,13,335
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,14,307
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,15,224
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,16,147
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,17,153
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,18,197
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,19,493
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,20,362
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,21,281
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,22,314
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,23,358
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,24,270
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,25,304
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,26,367
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,27,400
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,28,520
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,29,425
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,30,428
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,31,578
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,32,616
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,33,303
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,34,242
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,35,236
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,36,194
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,37,120
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,38,456
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,39,543
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,40,563
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,41,547
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,42,185
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,43,444
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,44,388
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,45,340
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,46,457
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,47,163
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,48,366
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,49,288
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,50,564
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,51,507
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,52,469
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,53,439
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,54,380
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,55,417
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,56,454
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,57,360
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,58,183
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,59,458
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,60,566
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,61,942
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,62,260
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,63,576
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,64,648
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,65,926
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,66,708
C:\Users\haris\Downloads\Rag\FrenchDoor.pdf,67,21
C:\Users\haris\Downloads\Rag\sideBySide.pdf,0,61
C:\Users\haris\Downloads\Rag\sideBySide.pdf,1,145
C:\Users\haris\Downloads\Rag\sideBySide.pdf,2,412
C:\Users\haris\Downloads\Rag\sideBySide.pdf,3,603
C:\Users\haris\Downloads\Rag\sideBySide.pdf,4,522
C:\Users\haris\Downloads\Rag\sideBySide.pdf,5,430
C:\Users\haris\Downloads\Rag\sideBySide.pdf,6,108
C:\Users\haris\Downloads\Rag\sideBySide.pdf,7,26
C:\Users\haris\Downloads\Rag\sideBySide.pdf,8,80
C:\Users\haris\Downloads\Rag\sideBySide.pdf,9,316
C:\Users\haris\Downloads\Rag\sideBySide.pdf,10,105
C:\Users\haris\Downloads\Rag\sideBySide.pdf,11,53
C:\Users\haris\Downloads\Rag\sideBySide.pdf,12,462
C:\Users\haris\Downloads\Rag\sideBySide.pdf,13,275
C:\Users\haris\Downloads\Rag\sideBySide.pdf,14,277
C:\Users\haris\Downloads\Rag\sideBySide.pdf,15,175
C:\Users\haris\Downloads\Rag\sideBySide.pdf,16,207
C:\Users\haris\Downloads\Rag\sideBySide.pdf,17,462
C:\Users\haris\Downloads\Rag\sideBySide.pdf,18,339
C:\Users\haris\Downloads\Rag\sideBySide.pdf,19,344
C:\Users\haris\Downloads\Rag\sideBySide.pdf,20,196
C:\Users\haris\Downloads\Rag\sideBySide.pdf,21,267
C:\Users\haris\Downloads\Rag\sideBySide.pdf,22,164
C:\Users\haris\Downloads\Rag\sideBySide.pdf,23,499
C:\Users\haris\Downloads\Rag\sideBySide.pdf,24,379
C:\Users\haris\Downloads\Rag\sideBySide.pdf,25,546
C:\Users\haris\Downloads\Rag\sideBySide.pdf,26,399
C:\Users\haris\Downloads\Rag\sideBySide.pdf,27,246
C:\Users\haris\Downloads\Rag\sideBySide.pdf,28,469
C:\Users\haris\Downloads\Rag\sideBySide.pdf,29,550
C:\Users\haris\Downloads\Rag\sideBySide.pdf,30,551
C:\Users\haris\Downloads\Rag\sideBySide.pdf,31,264
C:\Users\haris\Downloads\Rag\sideBySide.pdf,32,286
C:\Users\haris\Downloads\Rag\sideBySide.pdf,33,411
C:\Users\haris\Downloads\Rag\sideBySide.pdf,34,634
C:\Users\haris\Downloads\Rag\sideBySide.pdf,35,579
C:\Users\haris\Downloads\Rag\sideBySide.pdf,36,536
C:\Users\haris\Downloads\Rag\sideBySide.pdf,37,108
C:\Users\haris\Downloads\Rag\sideBySide.pdf,38,464
C:\Users\haris\Downloads\Rag\sideBySide.pdf,39,391
C:\Users\haris\Downloads\Rag\sideBySide.pdf,40,339
C:\Users\haris\Downloads\Rag\sideBySide.pdf,41,55
C:\Users\haris\Downloads\Rag\sideBySide.pdf,42,507
C:\Users\haris\Downloads\Rag\sideBySide.pdf,43,157
C:\Users\haris\Downloads\Rag\sideBySide.pdf,44,410
C:\Users\haris\Downloads\Rag\sideBySide.pdf,45,529
C:\Users\haris\Downloads\Rag\sideBySide.pdf,46,588
C:\Users\haris\Downloads\Rag\sideBySide.pdf,47,439
C:\Users\haris\Downloads\Rag\sideBySide.pdf,48,550
C:\Users\haris\Downloads\Rag\sideBySide.pdf,49,483
C:\Users\haris\Downloads\Rag\sideBySide.pdf,50,487
C:\Users\haris\Downloads\Rag\sideBySide.pdf,51,481
C:\Users\haris\Downloads\Rag\sideBySide.pdf,52,360
C:\Users\haris\Downloads\Rag\sideBySide.pdf,53,278
